balanced_row,official_test_index,label,status,logits_exact,logits_neq,max_abs_delta,reference_top5_exact,top1_correct,top5_correct,pair_wall_s,server_rc,client_rc,binary_sha256,input_sha256,oracle_sha256,reference_sha256
18,91,18,PASS,True,0,0,True,True,True,1.966602,0,0,7fa8ccaef9d5b2e0f2b853ef063d5e1fd2bf8c664287271e67935b6ce9290b77,024b8715883ebb2328c88199028f4b7f145f2ab3469e2a43b24a70581d8727bd,ae2cd654ddce520317bcd3b4d0c78c7d3279c81ed46643533617d67ee2665fe7,4dad044b31930810d52d2676895b36010f4798de279ed5d17dc8f9e9bb7f9d2b
19,122,19,PASS,True,0,0,True,True,True,1.994468,0,0,7fa8ccaef9d5b2e0f2b853ef063d5e1fd2bf8c664287271e67935b6ce9290b77,024b8715883ebb2328c88199028f4b7f145f2ab3469e2a43b24a70581d8727bd,ae2cd654ddce520317bcd3b4d0c78c7d3279c81ed46643533617d67ee2665fe7,4dad044b31930810d52d2676895b36010f4798de279ed5d17dc8f9e9bb7f9d2b
20,30,20,PASS,True,0,0,True,True,True,2.044021,0,0,7fa8ccaef9d5b2e0f2b853ef063d5e1fd2bf8c664287271e67935b6ce9290b77,024b8715883ebb2328c88199028f4b7f145f2ab3469e2a43b24a70581d8727bd,ae2cd654ddce520317bcd3b4d0c78c7d3279c81ed46643533617d67ee2665fe7,4dad044b31930810d52d2676895b36010f4798de279ed5d17dc8f9e9bb7f9d2b
21,24,21,PASS,True,0,0,True,True,True,1.979159,0,0,7fa8ccaef9d5b2e0f2b853ef063d5e1fd2bf8c664287271e67935b6ce9290b77,024b8715883ebb2328c88199028f4b7f145f2ab3469e2a43b24a70581d8727bd,ae2cd654ddce520317bcd3b4d0c78c7d3279c81ed46643533617d67ee2665fe7,4dad044b31930810d52d2676895b36010f4798de279ed5d17dc8f9e9bb7f9d2b
22,45,22,PASS,True,0,0,True,True,True,1.94767,0,0,7fa8ccaef9d5b2e0f2b853ef063d5e1fd2bf8c664287271e67935b6ce9290b77,024b8715883ebb2328c88199028f4b7f145f2ab3469e2a43b24a70581d8727bd,ae2cd654ddce520317bcd3b4d0c78c7d3279c81ed46643533617d67ee2665fe7,4dad044b31930810d52d2676895b36010f4798de279ed5d17dc8f9e9bb7f9d2b
23,8,23,PASS,True,0,0,True,False,True,1.922374,0,0,7fa8ccaef9d5b2e0f2b853ef063d5e1fd2bf8c664287271e67935b6ce9290b77,024b8715883ebb2328c88199028f4b7f145f2ab3469e2a43b24a70581d8727bd,ae2cd654ddce520317bcd3b4d0c78c7d3279c81ed46643533617d67ee2665fe7,4dad044b31930810d52d2676895b36010f4798de279ed5d17dc8f9e9bb7f9d2b
24,41,24,PASS,True,0,0,True,True,True,1.963632,0,0,7fa8ccaef9d5b2e0f2b853ef063d5e1fd2bf8c664287271e67935b6ce9290b77,024b8715883ebb2328c88199028f4b7f145f2ab3469e2a43b24a70581d8727bd,ae2cd654ddce520317bcd3b4d0c78c7d3279c81ed46643533617d67ee2665fe7,4dad044b31930810d52d2676895b36010f4798de279ed5d17dc8f9e9bb7f9d2b
25,38,25,PASS,True,0,0,True,True,True,1.98509,0,0,7fa8ccaef9d5b2e0f2b853ef063d5e1fd2bf8c664287271e67935b6ce9290b77,024b8715883ebb2328c88199028f4b7f145f2ab3469e2a43b24a70581d8727bd,ae2cd654ddce520317bcd3b4d0c78c7d3279c81ed46643533617d67ee2665fe7,4dad044b31930810d52d2676895b36010f4798de279ed5d17dc8f9e9bb7f9d2b
26,100,26,PASS,True,0,0,True,True,True,1.964294,0,0,7fa8ccaef9d5b2e0f2b853ef063d5e1fd2bf8c664287271e67935b6ce9290b77,024b8715883ebb2328c88199028f4b7f145f2ab3469e2a43b24a70581d8727bd,ae2cd654ddce520317bcd3b4d0c78c7d3279c81ed46643533617d67ee2665fe7,4dad044b31930810d52d2676895b36010f4798de279ed5d17dc8f9e9bb7f9d2b
27,61,27,PASS,True,0,0,True,False,True,1.942215,0,0,7fa8ccaef9d5b2e0f2b853ef063d5e1fd2bf8c664287271e67935b6ce9290b77,024b8715883ebb2328c88199028f4b7f145f2ab3469e2a43b24a70581d8727bd,ae2cd654ddce520317bcd3b4d0c78c7d3279c81ed46643533617d67ee2665fe7,4dad044b31930810d52d2676895b36010f4798de279ed5d17dc8f9e9bb7f9d2b
28,184,28,PASS,True,0,0,True,False,True,1.940649,0,0,7fa8ccaef9d5b2e0f2b853ef063d5e1fd2bf8c664287271e67935b6ce9290b77,024b8715883ebb2328c88199028f4b7f145f2ab3469e2a43b24a70581d8727bd,ae2cd654ddce520317bcd3b4d0c78c7d3279c81ed46643533617d67ee2665fe7,4dad044b31930810d52d2676895b36010f4798de279ed5d17dc8f9e9bb7f9d2b
29,23,29,PASS,True,0,0,True,False,False,2.184207,0,0,7fa8ccaef9d5b2e0f2b853ef063d5e1fd2bf8c664287271e67935b6ce9290b77,024b8715883ebb2328c88199028f4b7f145f2ab3469e2a43b24a70581d8727bd,ae2cd654ddce520317bcd3b4d0c78c7d3279c81ed46643533617d67ee2665fe7,4dad044b31930810d52d2676895b36010f4798de279ed5d17dc8f9e9bb7f9d2b
30,164,30,PASS,True,0,0,True,False,True,2.009738,0,0,7fa8ccaef9d5b2e0f2b853ef063d5e1fd2bf8c664287271e67935b6ce9290b77,024b8715883ebb2328c88199028f4b7f145f2ab3469e2a43b24a70581d8727bd,ae2cd654ddce520317bcd3b4d0c78c7d3279c81ed46643533617d67ee2665fe7,4dad044b31930810d52d2676895b36010f4798de279ed5d17dc8f9e9bb7f9d2b
31,207,31,PASS,True,0,0,True,True,True,1.966666,0,0,7fa8ccaef9d5b2e0f2b853ef063d5e1fd2bf8c664287271e67935b6ce9290b77,024b8715883ebb2328c88199028f4b7f145f2ab3469e2a43b24a70581d8727bd,ae2cd654ddce520317bcd3b4d0c78c7d3279c81ed46643533617d67ee2665fe7,4dad044b31930810d52d2676895b36010f4798de279ed5d17dc8f9e9bb7f9d2b
32,55,32,PASS,True,0,0,True,True,True,2.280324,0,0,7fa8ccaef9d5b2e0f2b853ef063d5e1fd2bf8c664287271e67935b6ce9290b77,024b8715883ebb2328c88199028f4b7f145f2ab3469e2a43b24a70581d8727bd,ae2cd654ddce520317bcd3b4d0c78c7d3279c81ed46643533617d67ee2665fe7,4dad044b31930810d52d2676895b36010f4798de279ed5d17dc8f9e9bb7f9d2b
33,1,33,PASS,True,0,0,True,True,True,1.945759,0,0,7fa8ccaef9d5b2e0f2b853ef063d5e1fd2bf8c664287271e67935b6ce9290b77,024b8715883ebb2328c88199028f4b7f145f2ab3469e2a43b24a70581d8727bd,ae2cd654ddce520317bcd3b4d0c78c7d3279c81ed46643533617d67ee2665fe7,4dad044b31930810d52d2676895b36010f4798de279ed5d17dc8f9e9bb7f9d2b
34,242,34,PASS,True,0,0,True,True,True,1.965904,0,0,7fa8ccaef9d5b2e0f2b853ef063d5e1fd2bf8c664287271e67935b6ce9290b77,024b8715883ebb2328c88199028f4b7f145f2ab3469e2a43b24a70581d8727bd,ae2cd654ddce520317bcd3b4d0c78c7d3279c81ed46643533617d67ee2665fe7,4dad044b31930810d52d2676895b36010f4798de279ed5d17dc8f9e9bb7f9d2b
35,65,35,PASS,True,0,0,True,False,True,2.251337,0,0,7fa8ccaef9d5b2e0f2b853ef063d5e1fd2bf8c664287271e67935b6ce9290b77,024b8715883ebb2328c88199028f4b7f145f2ab3469e2a43b24a70581d8727bd,ae2cd654ddce520317bcd3b4d0c78c7d3279c81ed46643533617d67ee2665fe7,4dad044b31930810d52d2676895b36010f4798de279ed5d17dc8f9e9bb7f9d2b
36,160,36,PASS,True,0,0,True,True,True,1.93804,0,0,7fa8ccaef9d5b2e0f2b853ef063d5e1fd2bf8c664287271e67935b6ce9290b77,024b8715883ebb2328c88199028f4b7f145f2ab3469e2a43b24a70581d8727bd,ae2cd654ddce520317bcd3b4d0c78c7d3279c81ed46643533617d67ee2665fe7,4dad044b31930810d52d2676895b36010f4798de279ed5d17dc8f9e9bb7f9d2b
37,39,37,PASS,True,0,0,True,True,True,1.98332,0,0,7fa8ccaef9d5b2e0f2b853ef063d5e1fd2bf8c664287271e67935b6ce9290b77,024b8715883ebb2328c88199028f4b7f145f2ab3469e2a43b24a70581d8727bd,ae2cd654ddce520317bcd3b4d0c78c7d3279c81ed46643533617d67ee2665fe7,4dad044b31930810d52d2676895b36010f4798de279ed5d17dc8f9e9bb7f9d2b
38,287,38,PASS,True,0,0,True,False,False,1.953643,0,0,7fa8ccaef9d5b2e0f2b853ef063d5e1fd2bf8c664287271e67935b6ce9290b77,024b8715883ebb2328c88199028f4b7f145f2ab3469e2a43b24a70581d8727bd,ae2cd654ddce520317bcd3b4d0c78c7d3279c81ed46643533617d67ee2665fe7,4dad044b31930810d52d2676895b36010f4798de279ed5d17dc8f9e9bb7f9d2b
39,26,39,PASS,True,0,0,True,True,True,2.113201,0,0,7fa8ccaef9d5b2e0f2b853ef063d5e1fd2bf8c664287271e67935b6ce9290b77,024b8715883ebb2328c88199028f4b7f145f2ab3469e2a43b24a70581d8727bd,ae2cd654ddce520317bcd3b4d0c78c7d3279c81ed46643533617d67ee2665fe7,4dad044b31930810d52d2676895b36010f4798de279ed5d17dc8f9e9bb7f9d2b
40,14,40,PASS,True,0,0,True,True,True,1.964683,0,0,7fa8ccaef9d5b2e0f2b853ef063d5e1fd2bf8c664287271e67935b6ce9290b77,024b8715883ebb2328c88199028f4b7f145f2ab3469e2a43b24a70581d8727bd,ae2cd654ddce520317bcd3b4d0c78c7d3279c81ed46643533617d67ee2665fe7,4dad044b31930810d52d2676895b36010f4798de279ed5d17dc8f9e9bb7f9d2b
41,32,41,PASS,True,0,0,True,True,True,1.921572,0,0,7fa8ccaef9d5b2e0f2b853ef063d5e1fd2bf8c664287271e67935b6ce9290b77,024b8715883ebb2328c88199028f4b7f145f2ab3469e2a43b24a70581d8727bd,ae2cd654ddce520317bcd3b4d0c78c7d3279c81ed46643533617d67ee2665fe7,4dad044b31930810d52d2676895b36010f4798de279ed5d17dc8f9e9bb7f9d2b
42,58,42,PASS,True,0,0,True,True,True,1.940342,0,0,7fa8ccaef9d5b2e0f2b853ef063d5e1fd2bf8c664287271e67935b6ce9290b77,024b8715883ebb2328c88199028f4b7f145f2ab3469e2a43b24a70581d8727bd,ae2cd654ddce520317bcd3b4d0c78c7d3279c81ed46643533617d67ee2665fe7,4dad044b31930810d52d2676895b36010f4798de279ed5d17dc8f9e9bb7f9d2b
43,15,43,PASS,True,0,0,True,True,True,1.93982,0,0,7fa8ccaef9d5b2e0f2b853ef063d5e1fd2bf8c664287271e67935b6ce9290b77,024b8715883ebb2328c88199028f4b7f145f2ab3469e2a43b24a70581d8727bd,ae2cd654ddce520317bcd3b4d0c78c7d3279c81ed46643533617d67ee2665fe7,4dad044b31930810d52d2676895b36010f4798de279ed5d17dc8f9e9bb7f9d2b
44,206,44,PASS,True,0,0,True,False,True,1.939035,0,0,7fa8ccaef9d5b2e0f2b853ef063d5e1fd2bf8c664287271e67935b6ce9290b77,024b8715883ebb2328c88199028f4b7f145f2ab3469e2a43b24a70581d8727bd,ae2cd654ddce520317bcd3b4d0c78c7d3279c81ed46643533617d67ee2665fe7,4dad044b31930810d52d2676895b36010f4798de279ed5d17dc8f9e9bb7f9d2b
45,154,45,PASS,True,0,0,True,False,False,1.946098,0,0,7fa8ccaef9d5b2e0f2b853ef063d5e1fd2bf8c664287271e67935b6ce9290b77,024b8715883ebb2328c88199028f4b7f145f2ab3469e2a43b24a70581d8727bd,ae2cd654ddce520317bcd3b4d0c78c7d3279c81ed46643533617d67ee2665fe7,4dad044b31930810d52d2676895b36010f4798de279ed5d17dc8f9e9bb7f9d2b
46,129,46,PASS,True,0,0,True,True,True,1.959196,0,0,7fa8ccaef9d5b2e0f2b853ef063d5e1fd2bf8c664287271e67935b6ce9290b77,024b8715883ebb2328c88199028f4b7f145f2ab3469e2a43b24a70581d8727bd,ae2cd654ddce520317bcd3b4d0c78c7d3279c81ed46643533617d67ee2665fe7,4dad044b31930810d52d2676895b36010f4798de279ed5d17dc8f9e9bb7f9d2b
47,102,47,PASS,True,0,0,True,True,True,2.211738,0,0,7fa8ccaef9d5b2e0f2b853ef063d5e1fd2bf8c664287271e67935b6ce9290b77,024b8715883ebb2328c88199028f4b7f145f2ab3469e2a43b24a70581d8727bd,ae2cd654ddce520317bcd3b4d0c78c7d3279c81ed46643533617d67ee2665fe7,4dad044b31930810d52d2676895b36010f4798de279ed5d17dc8f9e9bb7f9d2b
48,354,48,PASS,True,0,0,True,True,True,1.976368,0,0,7fa8ccaef9d5b2e0f2b853ef063d5e1fd2bf8c664287271e67935b6ce9290b77,024b8715883ebb2328c88199028f4b7f145f2ab3469e2a43b24a70581d8727bd,ae2cd654ddce520317bcd3b4d0c78c7d3279c81ed46643533617d67ee2665fe7,4dad044b31930810d52d2676895b36010f4798de279ed5d17dc8f9e9bb7f9d2b
49,0,49,PASS,True,0,0,True,False,False,2.052359,0,0,7fa8ccaef9d5b2e0f2b853ef063d5e1fd2bf8c664287271e67935b6ce9290b77,024b8715883ebb2328c88199028f4b7f145f2ab3469e2a43b24a70581d8727bd,ae2cd654ddce520317bcd3b4d0c78c7d3279c81ed46643533617d67ee2665fe7,4dad044b31930810d52d2676895b36010f4798de279ed5d17dc8f9e9bb7f9d2b
50,96,50,PASS,True,0,0,True,True,True,1.945194,0,0,7fa8ccaef9d5b2e0f2b853ef063d5e1fd2bf8c664287271e67935b6ce9290b77,024b8715883ebb2328c88199028f4b7f145f2ab3469e2a43b24a70581d8727bd,ae2cd654ddce520317bcd3b4d0c78c7d3279c81ed46643533617d67ee2665fe7,4dad044b31930810d52d2676895b36010f4798de279ed5d17dc8f9e9bb7f9d2b
51,3,51,PASS,True,0,0,True,True,True,1.940769,0,0,7fa8ccaef9d5b2e0f2b853ef063d5e1fd2bf8c664287271e67935b6ce9290b77,024b8715883ebb2328c88199028f4b7f145f2ab3469e2a43b24a70581d8727bd,ae2cd654ddce520317bcd3b4d0c78c7d3279c81ed46643533617d67ee2665fe7,4dad044b31930810d52d2676895b36010f4798de279ed5d17dc8f9e9bb7f9d2b
52,57,52,PASS,True,0,0,True,True,True,2.09619,0,0,7fa8ccaef9d5b2e0f2b853ef063d5e1fd2bf8c664287271e67935b6ce9290b77,024b8715883ebb2328c88199028f4b7f145f2ab3469e2a43b24a70581d8727bd,ae2cd654ddce520317bcd3b4d0c78c7d3279c81ed46643533617d67ee2665fe7,4dad044b31930810d52d2676895b36010f4798de279ed5d17dc8f9e9bb7f9d2b
53,19,53,PASS,True,0,0,True,True,True,1.947532,0,0,7fa8ccaef9d5b2e0f2b853ef063d5e1fd2bf8c664287271e67935b6ce9290b77,024b8715883ebb2328c88199028f4b7f145f2ab3469e2a43b24a70581d8727bd,ae2cd654ddce520317bcd3b4d0c78c7d3279c81ed46643533617d67ee2665fe7,4dad044b31930810d52d2676895b36010f4798de279ed5d17dc8f9e9bb7f9d2b
54,82,54,PASS,True,0,0,True,True,True,1.973692,0,0,7fa8ccaef9d5b2e0f2b853ef063d5e1fd2bf8c664287271e67935b6ce9290b77,024b8715883ebb2328c88199028f4b7f145f2ab3469e2a43b24a70581d8727bd,ae2cd654ddce520317bcd3b4d0c78c7d3279c81ed46643533617d67ee2665fe7,4dad044b31930810d52d2676895b36010f4798de279ed5d17dc8f9e9bb7f9d2b
55,263,55,PASS,True,0,0,True,True,True,1.993957,0,0,7fa8ccaef9d5b2e0f2b853ef063d5e1fd2bf8c664287271e67935b6ce9290b77,024b8715883ebb2328c88199028f4b7f145f2ab3469e2a43b24a70581d8727bd,ae2cd654ddce520317bcd3b4d0c78c7d3279c81ed46643533617d67ee2665fe7,4dad044b31930810d52d2676895b36010f4798de279ed5d17dc8f9e9bb7f9d2b
56,34,56,PASS,True,0,0,True,True,True,2.031722,0,0,7fa8ccaef9d5b2e0f2b853ef063d5e1fd2bf8c664287271e67935b6ce9290b77,024b8715883ebb2328c88199028f4b7f145f2ab3469e2a43b24a70581d8727bd,ae2cd654ddce520317bcd3b4d0c78c7d3279c81ed46643533617d67ee2665fe7,4dad044b31930810d52d2676895b36010f4798de279ed5d17dc8f9e9bb7f9d2b
57,53,57,PASS,True,0,0,True,True,True,2.014211,0,0,7fa8ccaef9d5b2e0f2b853ef063d5e1fd2bf8c664287271e67935b6ce9290b77,024b8715883ebb2328c88199028f4b7f145f2ab3469e2a43b24a70581d8727bd,ae2cd654ddce520317bcd3b4d0c78c7d3279c81ed46643533617d67ee2665fe7,4dad044b31930810d52d2676895b36010f4798de279ed5d17dc8f9e9bb7f9d2b
58,36,58,PASS,True,0,0,True,True,True,2.072378,0,0,7fa8ccaef9d5b2e0f2b853ef063d5e1fd2bf8c664287271e67935b6ce9290b77,024b8715883ebb2328c88199028f4b7f145f2ab3469e2a43b24a70581d8727bd,ae2cd654ddce520317bcd3b4d0c78c7d3279c81ed46643533617d67ee2665fe7,4dad044b31930810d52d2676895b36010f4798de279ed5d17dc8f9e9bb7f9d2b
59,109,59,PASS,True,0,0,True,True,True,2.076333,0,0,7fa8ccaef9d5b2e0f2b853ef063d5e1fd2bf8c664287271e67935b6ce9290b77,024b8715883ebb2328c88199028f4b7f145f2ab3469e2a43b24a70581d8727bd,ae2cd654ddce520317bcd3b4d0c78c7d3279c81ed46643533617d67ee2665fe7,4dad044b31930810d52d2676895b36010f4798de279ed5d17dc8f9e9bb7f9d2b
60,136,60,PASS,True,0,0,True,True,True,1.973947,0,0,7fa8ccaef9d5b2e0f2b853ef063d5e1fd2bf8c664287271e67935b6ce9290b77,024b8715883ebb2328c88199028f4b7f145f2ab3469e2a43b24a70581d8727bd,ae2cd654ddce520317bcd3b4d0c78c7d3279c81ed46643533617d67ee2665fe7,4dad044b31930810d52d2676895b36010f4798de279ed5d17dc8f9e9bb7f9d2b
61,31,61,PASS,True,0,0,True,False,True,1.965095,0,0,7fa8ccaef9d5b2e0f2b853ef063d5e1fd2bf8c664287271e67935b6ce9290b77,024b8715883ebb2328c88199028f4b7f145f2ab3469e2a43b24a70581d8727bd,ae2cd654ddce520317bcd3b4d0c78c7d3279c81ed46643533617d67ee2665fe7,4dad044b31930810d52d2676895b36010f4798de279ed5d17dc8f9e9bb7f9d2b
62,269,62,PASS,True,0,0,True,False,True,1.988098,0,0,7fa8ccaef9d5b2e0f2b853ef063d5e1fd2bf8c664287271e67935b6ce9290b77,024b8715883ebb2328c88199028f4b7f145f2ab3469e2a43b24a70581d8727bd,ae2cd654ddce520317bcd3b4d0c78c7d3279c81ed46643533617d67ee2665fe7,4dad044b31930810d52d2676895b36010f4798de279ed5d17dc8f9e9bb7f9d2b
63,40,63,PASS,True,0,0,True,True,True,1.969663,0,0,7fa8ccaef9d5b2e0f2b853ef063d5e1fd2bf8c664287271e67935b6ce9290b77,024b8715883ebb2328c88199028f4b7f145f2ab3469e2a43b24a70581d8727bd,ae2cd654ddce520317bcd3b4d0c78c7d3279c81ed46643533617d67ee2665fe7,4dad044b31930810d52d2676895b36010f4798de279ed5d17dc8f9e9bb7f9d2b
64,137,64,PASS,True,0,0,True,False,True,1.967207,0,0,7fa8ccaef9d5b2e0f2b853ef063d5e1fd2bf8c664287271e67935b6ce9290b77,024b8715883ebb2328c88199028f4b7f145f2ab3469e2a43b24a70581d8727bd,ae2cd654ddce520317bcd3b4d0c78c7d3279c81ed46643533617d67ee2665fe7,4dad044b31930810d52d2676895b36010f4798de279ed5d17dc8f9e9bb7f9d2b
65,63,65,PASS,True,0,0,True,True,True,1.965092,0,0,7fa8ccaef9d5b2e0f2b853ef063d5e1fd2bf8c664287271e67935b6ce9290b77,024b8715883ebb2328c88199028f4b7f145f2ab3469e2a43b24a70581d8727bd,ae2cd654ddce520317bcd3b4d0c78c7d3279c81ed46643533617d67ee2665fe7,4dad044b31930810d52d2676895b36010f4798de279ed5d17dc8f9e9bb7f9d2b
